year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,66384.00,706.00,176.46,1.85
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,นครพนม,104503.00,7122.00,201.52,9.55
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,728203.00,20265.00,2386.07,93.85
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,133846.00,4807.00,331.54,6.95
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,43150.00,1577.00,98.78,1.99
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,159435.00,13116.00,320.79,29.33
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,66255.00,777.00,111.29,1.64
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,เลย,153612.00,2541.00,438.75,9.26
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,147936.00,2430.00,270.58,6.15
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,91310.00,3199.00,300.52,10.11
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,หนองคาย,137915.00,71684.00,461.66,98.89
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,43335.00,277.00,137.43,0.65
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,224242.00,16932.00,709.88,80.87
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,213551.00,17032.00,846.62,79.98
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,สกลนคร,89989.00,394.00,232.20,1.17
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ยโสธร,44114.00,1506.00,58.38,3.20
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,18394.00,789.00,31.29,1.73
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,30309.00,142.00,34.03,0.20
2563,กุมภาพันธ์,ภาคกลาง,กรุงเทพมหานคร,2259097.00,1266425.00,18810.39,30016.04
2563,กุมภาพันธ์,ภาคกลาง,ลพบุรี,188783.00,1590.00,315.68,3.87
2563,กุมภาพันธ์,ภาคกลาง,พระนครศรีอยุธยา,282929.00,92171.00,583.79,200.35
2563,กุมภาพันธ์,ภาคกลาง,สระบุรี,123787.00,2072.00,211.19,4.29
2563,กุมภาพันธ์,ภาคกลาง,ชัยนาท,54023.00,360.00,71.04,0.60
2563,กุมภาพันธ์,ภาคกลาง,นครปฐม,187142.00,8603.00,263.33,12.39
2563,กุมภาพันธ์,ภาคกลาง,สิงห์บุรี,35109.00,157.00,50.49,0.28
2563,กุมภาพันธ์,ภาคกลาง,อ่างทอง,73479.00,3518.00,99.40,3.98
2563,กุมภาพันธ์,ภาคกลาง,นนทบุรี,182633.00,5475.00,262.99,17.48
2563,กุมภาพันธ์,ภาคกลาง,ปทุมธานี,116657.00,8892.00,144.23,14.89
2563,กุมภาพันธ์,ภาคกลาง,สมุทรปราการ,89213.00,99963.00,130.51,235.02
2563,กุมภาพันธ์,ภาคกลาง,สมุทรสาคร,84329.00,292.00,143.85,0.52
2563,กุมภาพันธ์,ภาคกลาง,ฉะเชิงเทรา,122264.00,1400.00,142.04,1.80
2563,กุมภาพันธ์,ภาคตะวันตก,ราชบุรี,122819.00,2066.00,240.90,5.13
2563,กุมภาพันธ์,ภาคตะวันตก,กาญจนบุรี,524705.00,21946.00,1817.81,123.39
